user,activity,posture,AVGNN,SDNN,MeanHR,MinHR,MaxHR,RMSSD,pNNxx,TINN,powerVLF,powerLF,powerHF,ratioHFLF
2,eat,sit,814.64,108.33,73.653,59.761,96.339,61.586,19.074,564,7051.4,2931,1400.8,2.092
2,eat,sit,714.23,73.443,84.007,66.138,101.83,31.246,8.1146,370,3791.9,773.5,428.31,1.806
2,eat,sit,815.13,60.382,73.608,65.048,90.361,35.418,11.444,284,1194.4,384.15,360.2,1.066
2,eat,sit,706.42,67.851,84.936,66.652,97.752,28.173,5.2009,294,1427.1,484.81,383.58,1.264
2,eat,sit,648.75,44.64,92.486,77.459,110.86,18.445,2.1692,209,1062.7,716.17,181.65,3.943
2,eat,sit,729.71,79.375,82.224,62.67,98.814,43.287,16.341,397,3136.8,860.05,860.14,1.000
2,eat,sit,755.84,90.071,79.382,62.735,105.34,46.061,18.939,443,2988.3,640.23,1062.6,0.603
2,eat,sit,928.71,88.722,64.606,56.593,87.007,57.224,27.95,370,4363,2266.6,1181.9,1.918
2,eat,sit,954.64,65.622,62.851,57.471,82.759,49.719,28.754,340,1366.4,983.67,721.04,1.364
2,eat,sit,961.72,80.812,62.388,54.377,89.686,56.089,34.839,399,2049.1,895.89,1263,0.709
2,eat,sit,729.52,55.914,82.246,60.68,102.81,30.271,6.0976,343,1005.8,450,350.89,1.282
2,eat,sit,709.23,77.477,84.599,67.781,111.77,22.834,4.0284,366,7343.4,1414.9,252.33,5.607
2,eat,sit,779.78,64.929,76.945,62.5,87.387,27.122,7.0313,257,2331.3,629.33,346.83,1.815
2,eat,sit,672.71,65.091,89.192,68.571,113.64,31.942,3.5955,364,2001.6,1824.3,323.17,5.645
2,eat,sit,645.87,56.932,92.898,78.003,115.43,19.389,2.5918,252,3808.1,830.38,159.95,5.191
2,eat,sit,639.32,48.146,93.85,73.983,112.87,20.657,2.5696,237,764.11,693.97,233.07,2.978
2,eat,sit,814.98,96.965,73.621,56.296,88.836,52.911,26.703,413,4145.6,1785,1184.5,1.507
2,eat,sit,782.43,61.753,76.684,62.099,86.133,38.83,14.398,312,1549.6,796.82,672.21,1.185
2,eat,sit,790.55,77.035,75.896,58.605,87.796,33.576,9.2593,295,1788.7,1066.1,426.32,2.501
2,eat,sit,740.46,49.787,81.031,68.446,97.245,22.812,3.9604,236,2076.7,852.96,234.07,3.644
2,eat,sit,749.44,45.092,80.06,68.729,89.419,24.876,2.7569,257,522.08,231.14,176.4,1.310
2,eat,sit,744.81,57.76,80.557,65.232,93.926,36.137,11.721,275,941.83,1322.9,711.18,1.860
2,eat,sit,717.53,89.263,83.62,64.103,102.77,27.997,7.4341,339,10265,1251.3,397.69,3.146
2,eat,sit,745.8,71.459,80.451,65.833,95.633,46.966,17.955,338,656.36,3173,1267.5,2.503
2,eat,sit,714.92,32.898,83.926,72.446,94.103,20.702,2.1531,219,608.43,381.47,247.54,1.541
2,eat,sit,697.43,54.624,86.03,69.364,101.73,20.739,2.7972,294,3798.9,421.21,218.26,1.930
2,eat,sit,714.84,31.282,83.935,76.007,91.324,17.483,47.733,165,408.84,302.44,168.63,1.794
2,eat,sit,794.65,103.77,75.505,62.461,102.53,37.294,15.119,408,6319.7,1301.6,663.52,1.962
2,eat,sit,800.46,85.375,74.957,63.078,95.877,36.044,14.973,359,4806.5,2346.2,428.48,5.476
2,eat,sit,848.14,85.266,70.743,60.484,93.691,39.525,18.75,367,5023.4,1345.2,872.42,1.542
2,eat,sit,699.66,55.848,85.756,72.446,101.97,24.842,5.1522,229,2076,713.93,240.31,2.971
2,eat,sit,670.44,31.419,89.494,78.39,97.182,15.953,22.422,153,318.03,216.27,138.31,1.564
2,eat,sit,656.87,29.612,91.342,80.085,100.47,14.284,1.3187,145,272.23,280.69,95.894,2.927
2,eat,sit,721.95,63.367,83.108,66.489,96.618,29.26,8.9372,271,1500.2,996.66,569.28,1.751
2,eat,sit,681.76,34.444,88.007,79.031,99.734,20.855,1.5909,164,633.35,231.48,375.14,0.617
2,eat,sit,667.91,36.373,89.833,80.278,101.25,19.975,3.125,181,390.26,516.49,217.22,2.378
2,focused-active,sit,867.73,88.458,69.146,57.361,88.679,58.73,29.07,407,3532.6,1471.1,905.71,1.624
2,focused-active,sit,896.25,74.172,66.945,59.892,87.093,59.488,30.149,458,2982.7,1384.9,1408,0.984
2,focused-active,sit,906.64,57.006,66.178,60.533,80.407,49.855,31.515,294,1003.5,799.88,1236.8,0.647
2,focused-active,sit,895.52,55.546,67,58.662,82.372,45.773,24.324,287,2214,725.53,732.92,0.990
2,focused-active,sit,881.48,66.812,68.068,58.662,83.893,59.724,31.563,325,1058,1866.4,1514,1.233
2,focused-active,sit,859.53,72.782,69.806,56.904,85.155,60.374,27.011,424,2080.5,1688.9,1214.9,1.390
2,focused-active,sit,819.16,69.521,73.246,63.776,89.445,47.757,26.575,362,1630.8,1201.9,1370.6,0.877
2,focused-active,sit,811.42,66.908,73.945,63.857,91.94,52.633,32.791,324,2329.7,2346,1825.9,1.285
2,focused-active,sit,819.22,74.28,73.24,60.753,93.809,47.101,20.274,342,1445.7,872.89,693.48,1.259
2,focused-active,sit,844.62,79.564,71.038,60.338,92.966,48.326,26.554,383,3258.5,1207.2,1072,1.126
2,focused-active,sit,822.65,74.547,72.935,62.696,90.58,51.564,23.077,327,2011.2,1871.6,1225.2,1.528
2,focused-active,sit,810.36,109.8,74.041,61.362,108.62,55.393,24.39,485,5923.3,2315.7,1656,1.398
2,focused-active,sit,810.98,103.95,73.985,62.971,105.78,49.884,26.016,411,3004.3,1427.6,1477,0.967
2,focused-active,sit,827.74,143.75,72.486,54.575,110.86,64.273,34.53,732,6451.4,3638.2,2371,1.534
2,focused-active,sit,886.8,91.043,67.659,57.219,87.032,56.076,31.454,442,2767.6,2159.7,1081.6,1.997
2,focused-active,sit,850.82,129.66,70.52,55.793,103.31,58.396,26.136,524,14388,1561.4,1170.4,1.334
2,focused-active,sit,847.69,105.41,70.781,58.525,97.245,39.171,20.113,404,8843.5,628.98,389.22,1.616
2,focused-active,sit,887.83,87.583,67.58,59.335,97.624,51.02,26.113,403,2092.3,1061.5,1276.3,0.832
2,focused-active,sit,856.7,66.968,70.036,57.893,82.69,40.859,18.911,325,1308,1396,634.41,2.200
2,focused-active,sit,856.9,97.296,70.02,57.904,94.967,47.135,29.226,469,7195.1,726.22,823.38,0.882
2,focused-active,sit,841.73,74.605,71.281,59.078,87.873,49.95,29.014,355,2596.9,948.19,817.31,1.160
2,focused-active,sit,782.23,56.105,76.704,69.268,93.458,31.239,10.733,235,1192,544.24,460.05,1.183
2,focused-active,sit,783.65,91.302,76.565,61.894,103.53,45.082,15,530,5486.1,2175.9,916.9,2.373
2,focused-active,sit,733.8,110.91,81.766,63.627,113.85,41.874,19.118,561,8477.8,1371.1,1114.8,1.230
2,focused-active,sit,792.11,56.184,75.747,64.739,92.053,33.051,10.875,252,1572.5,1993.7,498.95,3.996
2,focused-active,sit,783.26,49.332,76.603,67.31,89.339,27.831,7.0681,241,1694.6,884.86,324.57,2.726
2,focused-active,sit,735.45,91.515,81.582,65.588,112.95,35.669,12.039,384,2884.7,1818,402.98,4.511
2,focused-active,sit,889.05,80.213,67.488,59.488,94.787,59.683,34.524,364,1237.8,1437.5,1318,1.091
2,focused-active,sit,792.11,56.184,75.747,64.739,92.053,33.051,10.875,252,1572.5,1993.7,498.95,3.996
2,focused-active,sit,783.26,49.332,76.603,67.31,89.339,27.831,7.0681,241,1694.6,884.86,324.57,2.726
2,focused-active,sit,735.45,91.515,81.582,65.588,112.95,35.669,12.039,384,2884.7,1818,402.98,4.511
2,focused-active,sit,889.05,80.213,67.488,59.488,94.787,59.683,34.524,364,1237.8,1437.5,1318,1.091
2,focused-active,sit,806.08,66.245,74.434,65.474,92.593,47.424,23.656,314,1980.2,1685.1,882.31,1.910
2,focused-active,sit,798.06,60.162,75.182,66.007,92.251,36.562,13.904,285,1119.3,811.86,472.22,1.719
2,focused-active,sit,795.43,59.023,75.431,65.847,97.688,29.768,9.5745,273,2118.9,668.47,294.32,2.271
2,focused-active,sit,798.23,59.7,75.166,67.446,97.213,33.386,9.8667,253,2166.2,565.75,407.32,1.389
2,focused-active,sit,767.8,71.908,78.145,65.818,100.7,27.934,7.9692,332,4276.8,979.35,307.65,3.183
2,focused-active,sit,748.61,40.022,80.149,70.572,94.103,21.196,1.7544,212,387.86,456.84,172.47,2.649
2,focused-active,sit,822.61,66.359,72.939,63.358,98.425,35.578,12.672,324,1715.9,753.35,543.13,1.387
2,focused-active,sit,806.85,69.949,74.363,61,90.772,36.474,11.59,323,2680.5,845.74,410.57,2.060
2,focused-passive,sit,592.59,37.714,101.25,89.713,117.51,15.367,1.1881,186,848.95,497.21,129.68,3.834
2,focused-passive,sit,634.34,41.368,94.586,80.021,106.99,10.672,42.373,184,1040.9,259.76,83.672,3.105
2,focused-passive,sit,645.55,38.646,92.945,81.967,107.53,11.386,21.552,178,1266.8,683.47,40.052,17.065
2,focused-passive,sit,664.17,54.585,90.338,74.59,112.57,15.292,88.889,249,1264.6,642.9,79.109,8.127
2,focused-passive,sit,673.78,46.035,89.05,74.664,113.08,19.02,2.7027,283,1347.2,1071.8,221.42,4.841
2,focused-passive,sit,689.69,41.297,86.996,75.624,106.35,15.925,1.1521,210,1192.2,776.89,129.3,6.008
2,focused-passive,sit,696.81,57.378,86.107,73.547,106.76,17.59,1.6317,248,1186.7,835.61,118.28,7.065
2,focused-passive,sit,704.15,50.346,85.209,73.983,104.28,20.112,2.3529,228,1146.6,640.59,167.57,3.823
2,focused-passive,sit,727.83,46.88,82.437,70.061,103.2,21.572,2.9197,277,978.43,1169,182.38,6.410
2,focused-passive,sit,727.01,55.065,82.53,70.439,106.12,19.862,2.4331,261,2396.3,799.91,168.78,4.739
2,focused-passive,sit,722.25,66.06,83.073,67.476,109.73,25.985,3.8647,355,2347.2,3044.7,351.43,8.664
2,focused-passive,sit,711.16,68.333,84.369,68.871,107.72,33.274,6.4133,340,1839.8,2459.8,502.08,4.899
2,focused-passive,sit,715.54,79.429,83.852,68.182,105.75,31.892,8.6124,414,4454.5,2041.7,328.83,6.209
2,focused-passive,sit,758.08,62.078,79.147,66.726,105.23,32.241,6.8354,325,1012.3,671.75,333.15,2.016
2,focused-passive,sit,728.25,71.213,82.39,68.462,106.04,31.964,7.056,384,3285.8,1463.2,346.83,4.219
2,focused-passive,sit,742.93,89.412,80.762,67.234,145.94,45.453,12.987,555,2706,907.14,202.1,4.489
