user,activity,posture,AVGNN,SDNN,MeanHR,MinHR,MaxHR,RMSSD,pNNxx,TINN,powerVLF,powerLF,powerHF,ratioHFLF
0,eat,sit,682.3,102.57,87.938,70.755,137.3,88.265,28.969,501,3648.9,1150.8,1373.6,0.83781
0,eat,sit,647.96,105.86,92.598,73.565,151.84,102.92,32.727,530,1674.9,1701.7,2549.6,0.66744
0,eat,sit,668.3,70.965,89.78,75.453,128.96,56.976,15.833,467,315.94,1891.5,488.53,3.8718
0,eat,sit,680.34,57.515,88.191,72.957,101.01,42.669,9.4017,334,386.03,1274.7,444.48,2.868
0,eat,sit,612.12,51.331,98.02,82.781,115.52,21.759,3.0612,284,1953,631.79,222.46,2.84
0,eat,sit,618.75,44.225,96.969,79.177,112.11,23.597,4.9587,222,629.64,1171.4,315.48,3.713
0,eat,sit,572.26,36.845,104.85,88.339,119.14,28.116,2.2945,273,604.98,342.92,60.764,5.6435
0,focused-active,sit,1013.8,227.21,59.183,42.867,96.745,188.35,69.283,1023,25356,10981,12289,0.89355
0,focused-active,sit,1162.2,232.01,51.628,41.437,94.106,240.47,77.736,852,29716,8913.7,12432,0.71699
0,focused-active,sit,1110.5,234.53,54.031,43.36,83.333,215.37,74.632,1045,11491,8098.9,16103,0.50294
0,focused-active,sit,944.69,146.92,63.513,51.502,89.713,167.58,66.667,546,7290.5,5321.2,9181.6,0.57955
0,focused-active,sit,899.76,264.25,66.684,41.707,186.92,191.08,79.351,1103,27412,12958,16069,0.80638
0,focused-active,sit,707.75,104.05,84.776,64.925,151.63,90.083,26.588,553,4095.4,3192.9,2590.8,1.2324
0,focused-active,sit,730.04,52.765,82.187,72.639,100.6,36.069,6.7797,327,2696.7,622.33,427.85,1.4546
0,focused-active,sit,734.3,49.272,81.711,72.639,100.6,28.34,4.89,240,2195.5,530.71,390.2,1.3601
0,focused-active,sit,724.49,51.968,82.817,72.692,99.635,27.402,5.428,289,532.71,426.66,172.85,2.4684
0,focused-active,sit,784.44,98.469,76.488,57.792,107.45,62.31,27.487,521,3349.2,1275.4,1615.4,0.78954
