user,activity,posture,AVGNN,SDNN,MeanHR,MinHR,MaxHR,RMSSD,pNNxx,TINN,powerVLF,powerLF,powerHF,ratioHFLF
1,eat,sit,687.16,74.406,87.316,68.353,103.7,40.048,13.817,312,1804.1,3734.4,771.4,4.8411
1,eat,sit,697.27,66.883,86.05,69.849,108.74,28.871,7.8014,314,1168.6,2620.5,259.26,10.108
1,eat,sit,730.74,72.627,82.108,68.151,101.25,38.742,11.736,392,4030.4,1796.9,577.84,3.1097
1,eat,sit,734.01,75.225,81.743,67.099,99.602,39.318,17.488,375,3712.2,1586.2,672.99,2.357
1,eat,sit,792.17,91.867,75.741,61.576,93.052,65.959,35.013,470,2677.3,4952.7,1596.5,3.1022
1,eat,sit,765.28,64.424,78.403,65.789,94.877,49.38,26.087,308,800.9,2041.2,866.7,2.3552
1,eat,sit,809.69,63.073,74.102,65.703,90.937,33.217,10.569,333,850.1,2218.6,354.75,6.254
1,eat,sit,670.13,61.362,89.534,70.822,107.26,25.468,4.698,308,1672.9,1292.6,261.54,4.9424
1,eat,sit,689.33,66.301,87.041,67.461,109.45,33.449,10.369,308,2555.8,2138.5,511.23,4.183
1,eat,sit,695.68,72.83,86.247,67.325,102.42,39.086,15.349,361,853.46,4280.8,512.95,8.3454
1,focused-active,sit,796.74,66.79,75.307,64.254,91.158,47.943,26.596,307,815.68,1690.9,793.29,2.1315
1,focused-active,sit,806.96,68.058,74.353,65.26,93.4,48.707,24.259,314,1061.5,1452.8,1119.1,1.2982
1,focused-active,sit,772.11,105.05,77.709,55.918,110.21,50.756,24.548,479,1439.8,2185.2,948.4,2.3041
1,focused-active,sit,786.28,69.054,76.309,64.322,91.519,42.145,20,364,1491.6,1708.6,567.96,3.0082
1,focused-active,sit,819.57,69.37,73.209,59.821,87.617,40.969,20.604,312,2987,2678.8,450.7,5.9437
1,focused-active,sit,832.09,70.503,72.108,62.331,95.117,35.491,12.849,325,1487.9,1287.2,642.84,2.0024
1,focused-active,sit,745.67,45.124,80.465,70.126,93.429,28.158,7.6142,227,1190.8,695.17,221.49,3.1386
1,focused-active,sit,923.4,71.477,64.977,57.893,77.983,42.041,21.672,315,1868.6,1031,578.03,1.7836
1,focused-active,sit,889.48,63.23,67.455,60.631,84.866,35.877,13.393,293,1010.7,1346.8,390.76,3.4466
1,focused-active,sit,880.67,60.366,68.13,59.571,80.71,36.03,17.109,312,1881.8,1096.7,362.76,3.0232
1,focused-active,sit,886.98,57.816,67.645,59.406,83.449,35.018,15.43,275,758.39,1292.4,403.26,3.2049
1,focused-active,sit,822.63,86.369,72.937,61.275,90.009,55.96,31.868,450,3804.1,1681.7,859.31,1.9571
1,focused-active,sit,818.2,57.279,73.331,62.775,89.233,43.026,23.224,275,752.38,1681.4,756.41,2.2229
1,focused-active,sit,824.97,69.626,72.73,59.607,91.491,53.37,31.405,379,1529.5,5264.7,1113.8,4.7266
1,focused-active,sit,818.47,68.976,73.307,60.302,89.312,51.433,29.863,361,1701.2,1495.9,927.15,1.6135
1,focused-active,sit,793.67,82.794,75.598,63.532,105.37,47.567,24.668,355,1996.3,1586,807.9,1.9632
1,focused-active,sit,842.05,63.952,71.254,61.2,83.403,51.049,30.618,295,1883.8,1706.9,922.73,1.8499
1,focused-active,sit,810.7,75.028,74.01,61.817,91.884,34.152,13.208,295,3867.8,2077.4,383.69,5.4141
1,focused-active,sit,834.69,64.014,71.883,64.212,89.074,41.059,20.563,301,1283.9,1399,731.58,1.9123
1,focused-active,sit,873.96,53.516,68.653,62.867,84.341,35.167,13.235,269,696.61,643.73,602.16,1.069
1,focused-active,sit,839.03,71.188,71.511,63.586,90.909,46.849,11.236,413,2763.3,1804.7,763.69,2.3631
1,focused-active,sit,856.73,76.184,70.033,60.399,95.902,36.898,11.494,428,3027,1580.3,301.38,5.2436
1,focused-active,sit,865.83,56.607,69.298,61.894,86.856,33.528,12.573,278,1908.6,1543.4,508.57,3.0347
1,focused-active,sit,776.38,73.948,77.282,63.211,103.63,31.333,9.6104,307,2347.1,2130.1,289.59,7.3557
1,focused-active,sit,774.73,54.504,77.447,67.935,90.036,30.09,7.772,277,1041.9,1540.8,248.98,6.1882
1,focused-active,sit,774.49,55.854,77.471,66.225,90.854,29.647,7.7519,245,624.17,1667.9,273.77,6.0924
1,focused-active,sit,757.28,57.801,79.231,64.007,91.185,39.476,5.5696,350,965.47,1324.5,301.42,4.3942
1,leisure-passive,sit,701.24,85.18,85.563,64.272,108.54,42.524,16.076,403,2374.7,3658.4,943.28,3.8784
1,leisure-passive,sit,747.52,76.714,80.266,67.598,103.31,35.738,12.374,356,5077,1776.4,395.14,4.4955
1,leisure-passive,sit,770.22,72.33,77.9,65.359,98.945,36.182,15.245,305,3879.3,1451.1,554.09,2.6189
1,leisure-passive,sit,736.59,96.94,81.456,62.919,108.7,40.354,16.543,460,6553.2,5146,713.47,7.2127
1,leisure-passive,sit,763.4,97.832,78.596,62.972,100.91,40.115,15.979,466,3403.8,2421.4,525.45,4.6083
1,leisure-passive,sit,901.51,83.594,66.555,56.148,83.635,44.479,23.263,371,2234.7,1073.7,819.92,1.3096
1,leisure-passive,sit,898.1,80.071,66.808,56.37,92.393,43.587,20.544,352,1645.4,1701.8,542.07,3.1395
1,leisure-passive,sit,887,80.859,67.644,57.023,84.986,38.282,20.772,352,3338.9,1399.8,473.55,2.9559
1,leisure-passive,sit,910.28,77.765,65.914,57.937,90.117,40.407,20.365,355,2737.3,1159.8,555.85,2.0865
1,leisure-passive,sit,844.17,76.187,71.076,60.692,87.977,37.292,18.13,346,4032.6,1050.4,516.39,2.034
1,leisure-passive,sit,806.81,82.989,74.367,61.013,93.838,44.848,23.118,349,2124.2,2041.7,502.76,4.061
1,leisure-passive,sit,830,69.4,72.289,61,87.464,39.357,17.778,353,2033.2,1363.7,639.58,2.1322
1,leisure-passive,sit,746.55,64.601,80.37,63.857,97.815,28.354,5.985,289,1802.9,1473.2,289.88,5.0821
1,leisure-passive,lie,994.4,85.718,60.338,53.571,75.226,46.477,25.581,359,2588,2015.2,588.34,3.4252
1,leisure-passive,lie,981.29,68.307,61.144,55.117,75.075,45.385,20.984,324,2697.6,1895.4,499.58,3.7939
1,leisure-passive,lie,986.67,64.513,60.81,55.866,73.819,50.96,25.743,299,1165.4,2639.5,891.27,2.9614
1,leisure-passive,lie,1002.2,53.572,59.869,55.96,73.584,41.652,19.128,256,932.7,1087.9,523.98,2.0763
1,leisure-passive,lie,981.35,67.327,61.14,53.571,77.22,39.295,16.776,336,2525.6,1028.5,572.09,1.7978
1,leisure-passive,lie,981.56,81.242,61.127,54.25,75.226,48.014,24.262,331,3746,1593,572.9,2.7806
1,leisure-passive,lie,985.17,67.146,60.903,55.117,75.075,44.592,20.132,320,3214.6,1863.1,588.89,3.1638
1,leisure-passive,sit,753.13,75.68,79.668,68.012,103.13,36.658,13.35,400,3455.5,1820.4,525.71,3.4627
1,leisure-passive,sit,773.38,64.287,77.582,67.996,98.555,31.533,10.853,287,2428.6,1058.8,317.04,3.3396
1,leisure-passive,sit,799.3,65.81,75.066,65.617,92.49,37.05,15.2,292,2502.5,955.46,528.51,1.8078
1,leisure-passive,sit,806.38,69.464,74.406,63.492,94.251,35.546,12.129,321,2453.8,848.45,559.85,1.5155
1,leisure-passive,sit,891.57,101.76,67.297,56.001,90.627,64.24,27.19,549,2201.9,5614.4,871.06,6.4455
1,leisure-passive,sit,927.29,72.255,64.705,55.597,79.831,41.279,14.33,402,1914.6,1960.3,574.58,3.4117
1,leisure-passive,sit,898.78,58.886,66.757,58.377,79.402,32.355,11.55,282,2752.5,963.84,471.32,2.045
1,movement,stand,625.91,84.174,95.86,71.31,147.42,54.604,12.159,486,3715.5,746.04,237.52,3.1409
1,movement,stand,599.55,80.984,100.08,70.755,145.07,61.525,12.249,444,1754,1058.6,522.03,2.0279
1,movement,stand,633.84,81.129,94.662,70.175,112.44,36.503,6.5678,310,3886,1068.2,256.33,4.1674
1,movement,stand,549.1,54.214,109.27,78.452,159.91,36.61,3.8603,419,962.26,445.51,99.121,4.4946
1,movement,stand,527.38,56.495,113.77,88.81,156.74,47.077,6.2057,354,2279.3,820.74,127.76,6.4242
1,movement,stand,475.73,26.086,126.12,100.2,137.17,6.8526,0.15974,133,551.19,57.852,7.9777,7.2518
1,movement,stand,599.97,144.92,100,57.291,225.52,91.415,29.31,626,8150,7070.3,2841.2,2.4885
1,movement,stand,573.02,108.12,104.71,57.485,183.11,86.933,26.285,580,968.13,1202.3,1372.8,0.87574
