user,activity,posture,start,duration,Mean RR*,STD RR (SDNN),Mean HR*,STD HR,Min HR,Max HR,RMSSD,NNxx,pNNxx,HRV triangular index,TINN,Peak (Hz),Peak (Hz),Peak (Hz),Power (ms2),Power (ms2),Power (ms2),ratio
2,eat,sit,2017-09-30 10:07:00,11,814.64,108.33,73.653,10.066,59.761,96.339,61.586,70,19.074,21.647,564,33.333,73.333,16.667,7051.4,2931,1400.8,2.0925
2,eat,sit,2017-09-30 10:12:01,,714.23,73.443,84.007,8.6157,66.138,101.83,31.246,34,8.1146,16.154,370,33.333,40,23,3791.9,773.5,428.31,1.8059
2,eat,sit,2017-10-06 12:15:00,15,815.13,60.382,73.608,5.7661,65.048,90.361,35.418,42,11.444,16,284,10,53.333,30,1194.4,384.15,360.2,1.0665
2,eat,sit,2017-10-06 12:20:01,,706.42,67.851,84.936,7.5622,66.652,97.752,28.173,22,5.2009,14.133,294,20,11.667,18.333,1427.1,484.81,383.58,1.2639
2,eat,sit,2017-10-06 12:25:02,,648.75,44.64,92.486,6.4616,77.459,110.86,18.445,10,2.1692,10.744,209,33.333,43.333,23,1062.7,716.17,181.65,3.9426
2,eat,sit,2017-10-08 17:33:00,26,729.71,79.375,82.224,8.434,62.67,98.814,43.287,67,16.341,17.87,397,33.333,10.667,21,3136.8,860.05,860.14,99.989
2,eat,sit,2017-10-08 17:38:01,,755.84,90.071,79.382,9.8913,62.735,105.34,46.061,75,18.939,18.905,443,10,96.667,24.667,2988.3,640.23,1062.6,60.253
2,eat,sit,2017-10-08 17:43:02,,928.71,88.722,64.606,6.9453,56.593,87.007,57.224,90,27.95,12.92,370,10,56.667,27,4363,2266.6,1181.9,1.9177
2,eat,sit,2017-10-08 17:48:03,,954.64,65.622,62.851,4.8408,57.471,82.759,49.719,90,28.754,14.273,340,33.333,40,31.667,1366.4,983.67,721.04,1.3642
2,eat,sit,2017-10-08 17:53:04,,961.72,80.812,62.388,5.9016,54.377,89.686,56.089,108,34.839,16.368,399,16.667,11.667,16.333,2049.1,895.89,1263,70.933
