user,activity,posture,AVGNN,SDNN,MeanHR,SDHR,MinHR,MaxHR,RMSSD,NNxx,pNNxx,triangularindex,TINN,powerVLF,powerLF,powerHF,ratioHFLF
1,eat,sit,687.16,74.406,87.316,8.8208,68.353,103.7,40.048,59,13.817,11.263,312,1804.1,3734.4,771.4,4.8411
1,eat,sit,697.27,66.883,86.05,8.3807,69.849,108.74,28.871,33,7.8014,14.133,314,1168.6,2620.5,259.26,10.108
1,eat,sit,730.74,72.627,82.108,8.2673,68.151,101.25,38.742,48,11.736,21.579,392,4030.4,1796.9,577.84,3.1097
1,eat,sit,734.01,75.225,81.743,8.2433,67.099,99.602,39.318,71,17.488,20.35,375,3712.2,1586.2,672.99,2.357
1,eat,sit,792.17,91.867,75.741,8.6653,61.576,93.052,65.959,132,35.013,19.895,470,2677.3,4952.7,1596.5,3.1022
1,eat,sit,765.28,64.424,78.403,6.4802,65.789,94.877,49.38,102,26.087,15.077,308,800.9,2041.2,866.7,2.3552
1,eat,sit,809.69,63.073,74.102,5.9489,65.703,90.937,33.217,39,10.569,17.619,333,850.1,2218.6,354.75,6.254
1,eat,sit,670.13,61.362,89.534,7.9983,70.822,107.26,25.468,21,4.698,13.576,308,1672.9,1292.6,261.54,4.9424
1,eat,sit,689.33,66.301,87.041,8.0991,67.461,109.45,33.449,45,10.369,16.731,308,2555.8,2138.5,511.23,4.183
1,eat,sit,695.68,72.83,86.247,8.6818,67.325,102.42,39.086,66,15.349,17.24,361,853.46,4280.8,512.95,8.3454
1,focused-active,sit,796.74,66.79,75.307,6.4435,64.254,91.158,47.943,100,26.596,13.963,307,815.68,1690.9,793.29,2.1315
1,focused-active,sit,806.96,68.058,74.353,6.6695,65.26,93.4,48.707,90,24.259,16.909,314,1061.5,1452.8,1119.1,1.2982
1,focused-active,sit,772.11,105.05,77.709,11.343,55.918,110.21,50.756,95,24.548,18.476,479,1439.8,2185.2,948.4,2.3041
1,focused-active,sit,786.28,69.054,76.309,6.7168,64.322,91.519,42.145,76,20,18.143,364,1491.6,1708.6,567.96,3.0082
1,focused-active,sit,819.57,69.37,73.209,6.2369,59.821,87.617,40.969,75,20.604,17.381,312,2987,2678.8,450.7,5.9437
1,focused-active,sit,832.09,70.503,72.108,6.675,62.331,95.117,35.491,46,12.849,14.958,325,1487.9,1287.2,642.84,2.0024
1,focused-active,sit,745.67,45.124,80.465,4.9084,70.126,93.429,28.158,30,7.6142,12.344,227,1190.8,695.17,221.49,3.1386
1,focused-active,sit,923.4,71.477,64.977,5.2973,57.893,77.983,42.041,70,21.672,15.429,315,1868.6,1031,578.03,1.7836
