user,activity,posture,AVGNN,SDNN,RMSSD,pNNxx,TINN,powerVLF,powerLF,powerHF,ratioHFLF
2,eat,sit,814.64,108.33,61.586,19.074,564,33.333,73.333,16.667,2.0925
2,eat,sit,714.23,73.443,31.246,8.1146,370,33.333,40,23,1.8059
2,eat,sit,815.13,60.382,35.418,11.444,284,10,53.333,30,1.0665
2,eat,sit,706.42,67.851,28.173,5.2009,294,20,11.667,18.333,1.2639
2,eat,sit,648.75,44.64,18.445,2.1692,209,33.333,43.333,23,3.9426
2,eat,sit,729.71,79.375,43.287,16.341,397,33.333,10.667,21,99.989
2,eat,sit,755.84,90.071,46.061,18.939,443,10,96.667,24.667,60.253
2,eat,sit,928.71,88.722,57.224,27.95,370,10,56.667,27,1.9177
2,eat,sit,954.64,65.622,49.719,28.754,340,33.333,40,31.667,1.3642
2,eat,sit,961.72,80.812,56.089,34.839,399,16.667,11.667,16.333,70.933
2,eat,sit,729.52,55.914,30.271,6.0976,343,66.667,11.333,15.333,1.2824
2,eat,sit,709.23,77.477,22.834,4.0284,366,33.333,76.667,15,5.6071
2,eat,sit,779.78,64.929,27.122,7.0313,257,33.333,50,24.667,1.8145
2,eat,sit,672.71,65.091,31.942,3.5955,364,16.667,56.667,15,5.645
2,eat,sit,645.87,56.932,19.389,2.5918,252,66.667,60,18,5.1915
2,eat,sit,639.32,48.146,20.657,2.5696,237,33.333,93.333,16.333,2.9775
2,eat,sit,814.98,96.965,52.911,26.703,413,23.333,40,15.667,1.507
2,eat,sit,782.43,61.753,38.83,14.398,312,20,13,15,1.1854
2,eat,sit,790.55,77.035,33.576,9.2593,295,23.333,11.333,22.333,2.5008
2,eat,sit,740.46,49.787,22.812,3.9604,236,66.667,83.333,15.667,3.6441
2,eat,sit,749.44,45.092,24.876,2.7569,257,33.333,86.667,27.667,1.3103
2,eat,sit,744.81,57.76,36.137,11.721,275,20,86.667,17.667,1.8602
2,eat,sit,717.53,89.263,27.997,7.4341,339,33.333,86.667,26.667,3.1464
2,eat,sit,745.8,71.459,46.966,17.955,338,0,73.333,15,2.5033
2,eat,sit,714.92,32.898,20.702,2.1531,219,16.667,60,16.667,1.541
2,eat,sit,697.43,54.624,20.739,2.7972,294,23.333,40,20.333,1.9298
2,eat,sit,714.84,31.282,17.483,47.733,165,23.333,90,23.333,1.7936
2,eat,sit,794.65,103.77,37.294,15.119,408,33.333,40,22.667,1.9617
2,eat,sit,800.46,85.375,36.044,14.973,359,10,46.667,29.667,5.4758
2,eat,sit,848.14,85.266,39.525,18.75,367,33.333,60,22.667,1.5419
2,eat,sit,699.66,55.848,24.842,5.1522,229,33.333,40,25.333,2.9708
2,eat,sit,670.44,31.419,15.953,22.422,153,16.667,93.333,18.667,1.5637
2,eat,sit,656.87,29.612,14.284,1.3187,145,20,73.333,16,2.9271
2,eat,sit,721.95,63.367,29.26,8.9372,271,33.333,11.333,16.333,1.7508
2,eat,sit,681.76,34.444,20.855,1.5909,164,16.667,11.333,19,61.704
2,eat,sit,667.91,36.373,19.975,3.125,181,13.333,10.667,15.333,2.3778
2,focused-active,sit,867.73,88.458,58.73,29.07,407,10,43.333,30.333,1.6242
2,focused-active,sit,896.25,74.172,59.488,30.149,458,23.333,90,23.667,98.361
2,focused-active,sit,906.64,57.006,49.855,31.515,294,16.667,46.667,18.333,64.672
2,focused-active,sit,895.52,55.546,45.773,24.324,287,23.333,96.667,28.667,98.991
2,focused-active,sit,881.48,66.812,59.724,31.563,325,33.333,12.333,29.333,1.2328
2,focused-active,sit,859.53,72.782,60.374,27.011,424,10,14.667,29.667,1.3901
2,focused-active,sit,819.16,69.521,47.757,26.575,362,33.333,40,28.333,87.693
2,focused-active,sit,811.42,66.908,52.633,32.791,324,66.667,12,17,1.2848
2,focused-active,sit,819.22,74.28,47.101,20.274,342,33.333,13.667,16.333,1.2587
2,focused-active,sit,844.62,79.564,48.326,26.554,383,66.667,53.333,24.667,1.1262
2,focused-active,sit,822.65,74.547,51.564,23.077,327,66.667,11,18,1.5276
2,focused-active,sit,810.36,109.8,55.393,24.39,485,66.667,10.333,17,1.3983
2,focused-active,sit,810.98,103.95,49.884,26.016,411,33.333,14.333,19.667,96.655
2,focused-active,sit,827.74,143.75,64.273,34.53,732,16.667,13,15,1.5345
2,focused-active,sit,886.8,91.043,56.076,31.454,442,23.333,12.333,18,1.9968
2,focused-active,sit,850.82,129.66,58.396,26.136,524,66.667,56.667,17,1.3341
2,focused-active,sit,847.69,105.41,39.171,20.113,404,10,40,16,1.616
2,focused-active,sit,887.83,87.583,51.02,26.113,403,33.333,12.333,27.667,83.17
2,focused-active,sit,856.7,66.968,40.859,18.911,325,20,66.667,27.667,2.2005
2,focused-active,sit,856.9,97.296,47.135,29.226,469,33.333,10.667,30.333,88.199
